customer_id,address_surragate_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,property_valuation
65,65,Yale,Tanser,Male,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,7
66,66,Anselm,Gawne,Male,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,12
67,67,Vernon,,Male,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,10
68,68,Dahlia,Eddoes,Female,1974-04-21,Information Systems Manager,,Affluent Customer,N,No,6
69,69,Heidi,Milner,Female,1969-06-22,Web Developer II,,Mass Customer,N,No,8
70,70,Foster,Vannoort,Male,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8
71,71,Hoyt,Glavias,Male,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,8
72,72,Sammy,Cheese,Male,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,9
73,73,Minette,Worters,Female,1960-05-27,Teacher,,Affluent Customer,N,Yes,5
74,74,Pansy,Kiddie,Female,1969-06-19,,,Mass Customer,N,Yes,9
75,75,Dollie,Sealy,Female,1978-07-15,VP Product Management,Property,Mass Customer,N,No,10
76,76,Rea,Hasser,Female,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,1
77,77,Shermie,Andrin,Male,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,6
78,78,Arch,Van der Kruis,Male,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8
79,79,Tybi,Silliman,Female,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,12
80,80,Pablo,Small,Male,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,11
81,81,Bee,Blazewicz,Female,1986-09-04,,Health,High Net Worth,N,No,11
82,82,Gleda,Cokely,Female,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,11
83,83,Kerr,Simmell,Male,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,12
84,84,Rich,Mathiasen,Male,1958-02-07,Accountant III,,Mass Customer,N,Yes,12
85,85,Kane,Tixall,Male,1958-05-21,Analyst Programmer,,Mass Customer,N,No,11
86,86,Job,Sleney,Male,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,10
87,87,Fields,Langdon,Male,1974-04-23,Editor,Financial Services,Mass Customer,N,No,9
88,88,Malynda,Tumber,Female,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,10
89,89,Benedicto,Hoxey,Male,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,10
90,90,Cary,Garron,Male,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,7
91,91,Dylan,Meaker,Male,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,10
92,92,Jodee,Judkins,Female,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,11
93,93,Gordon,Gowar,Male,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,8
94,94,Wallache,Simchenko,Male,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,10
95,95,Nomi,Mallinder,Female,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,9
96,96,Heath,Olford,Male,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,12
97,97,Arne,Corain,Male,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10
98,98,Allianora,Babalola,Female,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,9
99,99,Reggie,Mulliner,Male,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,12
100,100,Tripp,Steed,Male,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,10
101,101,Goran,Kwietek,Male,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,10
102,102,Langsdon,Tranfield,Male,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,9
103,103,Ethyl,Runham,Female,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,12
104,104,Odille,Panketh,Female,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,8
105,105,Maribeth,Pristnor,Female,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,11
106,106,Glyn,,Male,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,8
107,107,Pris,Stallebrass,Female,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,12
108,108,Kayle,Mingaud,Female,1994-03-14,,,High Net Worth,N,No,11
109,109,Cody,Blabey,Male,1978-12-11,Marketing Assistant,,Affluent Customer,N,Yes,4
110,110,Sascha,St. Quintin,Male,2000-07-31,,Financial Services,Affluent Customer,N,No,9
111,111,Cele,Evason,Female,1993-08-29,Analyst Programmer,,Mass Customer,N,No,1
112,112,Shena,Parren,Female,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,8
113,113,Gage,Nickless,Male,1956-05-06,Staff Scientist,,Mass Customer,N,No,6
114,114,Sunny,Swindells,Female,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,10
115,115,Alberik,Mereweather,Male,1981-12-21,Account Executive,Health,Mass Customer,N,No,7
116,116,Scottie,Swiffen,Male,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2
117,117,Nance,Suttling,Female,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,9
118,118,Prentice,Pearmain,Male,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,N,No,2
119,119,Willey,Chastanet,Male,1981-12-04,Associate Professor,,High Net Worth,N,Yes,8
120,120,Sloan,Wagg,Male,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,8
121,121,Myles,Pauncefort,Male,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,10
122,122,Colver,Itter,Male,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,4
123,123,Almeta,Kalinsky,Female,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,1
124,124,Kath,Cunney,Female,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5
125,125,Darrelle,Antoniewski,Female,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,9
126,126,Norman,Cliff,Male,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,7
127,127,Merrili,Whitear,Female,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,3
128,128,Isidro,Cypler,Male,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,8
129,129,Weidar,Silkstone,Male,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,1
130,130,Raddy,Delete,Male,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,11
131,131,Jana,Renyard,Female,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,6
132,132,Celesta,Willavoys,Female,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,3
133,133,Eldridge,Fiddeman,Male,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,10
134,134,Merna,McCulloch,Female,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,9
135,135,Rosalia,Sigart,Female,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,1
136,136,Mel,Bennet,Male,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,9
137,137,Vaughn,Artin,Male,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,11
138,138,Onofredo,Franc,Male,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,9
139,139,Gar,,Male,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,6
140,140,Morrie,Flaxon,Male,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,3
141,141,Townsend,Trobe,Male,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,5
142,142,Bentley,Fortesquieu,Male,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,11
143,143,Kendall,Figg,Male,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11
144,144,Jory,Barrabeale,U,,Environmental Tech,IT,Mass Customer,N,No,8
145,145,Filippo,Ferrara,Male,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,7
146,146,Ricoriki,Matlock,Male,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,7
147,147,Rea,Pattrick,Female,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,9
148,148,Jaquith,Maffey,Female,1981-05-08,Programmer Analyst III,,Mass Customer,N,Yes,12
149,149,Drucy,Kausche,Female,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,8
150,150,Bradly,Crosse,Male,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,8
151,151,Donnie,Brimson,Male,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,10
152,152,Stephana,Cardew,Female,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,11
153,153,Lorilyn,Walshe,Female,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,8
154,154,Faydra,Dulieu,Female,1958-02-13,Junior Executive,,Mass Customer,N,No,6
155,155,Orran,Bogges,Male,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10
156,156,Shayla,Rimmington,Female,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11
157,157,Chad,Houtby,Male,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,10
158,158,Hamlin,Odams,Male,1984-09-03,Internal Auditor,,Affluent Customer,N,No,10
159,159,Arin,Matskevich,Male,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,10
160,160,Wake,Durning,Male,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,4
161,161,Tadd,Bloss,Male,1976-01-21,,,Mass Customer,N,No,10
162,162,Port,Acuna,Male,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,4
163,163,Kessia,Helder,Female,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,6
164,164,Aarika,Van Vuuren,Female,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,6
165,165,Aldon,Roelofs,Male,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,9
166,166,Elston,Oleszczak,Male,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,8
167,167,Nathalie,Tideswell,Female,1969-10-27,,Health,High Net Worth,N,Yes,11
168,168,Reggie,Broggetti,U,,General Manager,IT,Affluent Customer,N,Yes,4
169,169,Alfy,Bruhnke,Male,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,8
170,170,Jammal,Gever,Male,1975-06-02,Pharmacist,Health,High Net Worth,N,No,9
171,171,Halli,Davidoff,Female,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,11
172,172,Hilton,Carney,Male,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,8
173,173,Ebba,Hanselmann,Female,1997-01-02,General Manager,Health,Affluent Customer,N,No,5
174,174,Catie,Tosspell,Female,1989-11-26,Food Chemist,Health,Mass Customer,N,No,7
175,175,Templeton,Hambrook,Male,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,9
176,176,Angelo,Clayal,Male,1992-04-13,Accountant I,Property,Mass Customer,N,No,8
177,177,Ondrea,Pablos,Female,1989-11-09,Professor,Financial Services,High Net Worth,N,No,1
178,178,Matthieu,Bertelmot,Male,1967-04-03,,,Affluent Customer,N,No,4
179,179,Esteban,Sewill,Male,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,10
180,180,Trisha,Neasham,Female,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,1
181,181,Pavla,Braunle,Female,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,5
182,182,Lydon,Dahlman,Male,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7
183,183,Dannie,Hissie,Female,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,10
184,184,Nappie,Paolo,Male,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,11
185,185,Crosby,Walcot,Male,1979-12-13,,Property,Mass Customer,N,Yes,4
186,186,Mireielle,Jeppe,Female,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,9
187,187,Pincas,Ather,Male,1954-01-28,Structural Engineer,,Mass Customer,N,No,7
188,188,Audry,Seine,Female,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,6
189,189,Umberto,Torricella,Male,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,7
190,190,Hayley,Girardengo,Female,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,5
191,191,Christopher,Heining,Male,1960-04-27,Help Desk Operator,,Affluent Customer,N,Yes,9
192,192,Goldi,Osler,Female,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8
193,193,Foss,Hardes,Male,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12
194,194,Ursala,Ferrai,Female,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,7
195,195,Talyah,Rylatt,Female,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,8
196,196,Swen,Odhams,Male,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,2
197,197,Avis,,Female,1977-01-27,,,High Net Worth,N,No,9
198,198,Vanya,Gumb,Female,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,5
199,199,Verla,Alven,Female,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,11
200,200,Hube,Weald,Male,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,10
201,201,Salem,Huie,Male,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,9
202,202,Audie,Pillinger,Female,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,9
203,203,Donovan,Conry,Male,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,8
204,204,Thorny,Hackworth,Male,1976-10-01,Editor,Financial Services,Mass Customer,N,No,7
205,205,Rolfe,Kellard,Male,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,11
206,206,Mari,Chevolleau,Female,1954-07-19,Statistician I,,Mass Customer,N,Yes,9
207,207,Adena,Whyman,Female,1994-08-10,,,Mass Customer,N,No,10
208,208,Rutter,Excell,Male,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,4
209,209,Udall,Bellard,Male,1957-08-28,Analog Circuit Design manager,,Affluent Customer,N,Yes,4
210,210,Albrecht,Thomasson,Male,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,9
211,211,Beitris,,Female,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,3
212,212,Nanice,Ellse,Female,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,10
213,213,Lockwood,Exroll,Male,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,11
214,214,Jeramie,Cellier,Male,1957-11-29,Food Chemist,Health,Mass Customer,N,No,8
215,215,Debera,Foxworthy,Female,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,8
216,216,Cinderella,Parcall,Female,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,8
217,217,Jeralee,Quartly,Female,1979-12-09,,Manufacturing,High Net Worth,N,No,8
218,218,Stefa,Dunnan,Female,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,11
219,219,Markus,Mughal,Male,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,7
220,220,Jeniffer,Apark,Female,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,12
221,221,Mara,Bloore,Female,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,9
222,222,Nev,Larive,Male,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,7
223,223,Ossie,Meaton,Male,1983-11-26,VP Sales,,Affluent Customer,N,Yes,9
224,224,Morgun,Girvan,Male,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,7
225,225,Brittaney,Pring,Female,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,10
226,226,Bondie,Letty,Male,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,11
227,227,Wendall,McKeand,Male,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,10
228,228,Lucia,Pickervance,Female,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,9
229,229,Vaughn,Lambis,Male,1966-03-06,,Property,High Net Worth,N,No,10
230,230,Maegan,Scyone,Female,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,10
231,231,Basile,Winsor,Male,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,8
232,232,Zaria,Koeppke,Female,1987-11-11,Professor,Retail,Mass Customer,N,No,2
233,233,Art,Barwell,Male,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,11
234,234,Mead,Alpes,Female,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,8
235,235,Leona,Phateplace,Female,1976-12-26,Social Worker,Health,Mass Customer,N,No,3
236,236,Tybalt,Gillingwater,Male,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,9
237,237,Reginald,Dartan,Male,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,7
238,238,Max,Bilborough,Male,1984-02-04,Programmer III,,Mass Customer,N,Yes,9
239,239,Wells,Pressman,Male,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,8
240,240,Gavin,Fawks,Male,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,6
241,241,Quillan,Duigan,Male,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,1
242,242,Taite,Droghan,Male,1992-03-20,Nurse,Property,Affluent Customer,N,No,5
243,243,Barbara,Croxley,Female,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,4
244,244,Germayne,Sperry,Male,1974-11-25,,Retail,Affluent Customer,N,No,10
245,245,Noell,Grahlmans,Female,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,11
246,246,Binny,Whight,Female,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,10
247,247,Kristal,Joysey,Female,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,8
248,248,Inger,Eskell,Female,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,7
249,249,D'arcy,Slay,Male,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,7
250,250,Kristofer,,Male,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,1
251,251,Mala,,Female,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,2
252,252,Anthea,Ruskin,Female,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,7
253,253,Amalee,Choak,Female,1997-05-11,Food Chemist,Health,Mass Customer,N,Yes,5
254,254,Barbie,Rubi,Female,1961-09-22,Information Systems Manager,Retail,Mass Customer,N,No,6
255,255,Keeley,Kruger,Female,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,6
256,256,Linell,Beadle,Female,1975-05-07,Director of Sales,Health,High Net Worth,N,Yes,2
257,257,Marissa,,Female,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,Yes,1
258,258,Othella,Keher,Female,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,N,No,10
259,259,Venita,Dymick,Female,1983-07-22,Senior Developer,Health,High Net Worth,N,Yes,9
260,260,Farand,Marriner,Female,1979-08-30,Senior Quality Engineer,Health,High Net Worth,N,Yes,10
261,261,Marve,Pryn,Male,1977-10-15,Structural Engineer,,Mass Customer,N,No,9
262,262,Cordie,Petrelli,Male,1977-12-23,,Health,High Net Worth,N,Yes,10
263,263,Tonia,Leigh,Female,1985-11-19,Dental Hygienist,Health,High Net Worth,N,No,10
264,264,Jedd,Spiby,Male,1977-12-07,Technical Writer,Health,Mass Customer,N,No,9
265,265,Pennie,Stoile,Male,1965-10-05,Sales Representative,Retail,High Net Worth,N,Yes,7
266,266,Lelia,Garatty,Female,1989-07-19,Account Executive,Retail,Affluent Customer,N,No,10
267,267,Edgar,Buckler,U,,,IT,High Net Worth,N,No,2
268,268,Kacie,Kidston,Female,1978-10-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,12
269,269,Zacherie,Grindley,Male,1954-09-19,Nurse Practicioner,Property,Mass Customer,N,Yes,9
270,270,Auberta,Roundtree,Female,1970-12-10,Budget/Accounting Analyst III,,Mass Customer,N,Yes,8
271,271,Doll,Burtwell,Female,1991-02-13,Financial Advisor,Financial Services,Mass Customer,N,No,4
272,272,Arlie,Crean,Female,1987-06-06,Product Engineer,Retail,Mass Customer,N,Yes,8
273,273,Nevile,Abraham,Male,1963-04-22,Computer Systems Analyst IV,,Mass Customer,N,No,8
274,274,Tessi,Hesse,Female,1976-09-15,Social Worker,Health,Mass Customer,N,Yes,12
275,275,Dud,,Male,1955-07-27,VP Sales,Health,High Net Worth,N,No,11
276,276,Goldi,Dwine,Female,1990-03-25,,Financial Services,Mass Customer,N,No,8
277,277,Jehanna,Alvarado,Female,1956-02-19,VP Product Management,,High Net Worth,N,No,6
278,278,Sydney,Georger,Male,1997-07-30,Executive Secretary,,Affluent Customer,N,Yes,5
